message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,mute,payment,Muted promotional message from an opted-out business.,0.90,message_0243
msg_091,mute,personal,Low priority message muted.,0.72,message_0238;message_0381
msg_090,notify,greeting,Similar messages were previously opened by the user.,0.76,none
msg_048,notify,urgent,Similar messages were previously opened by the user.,0.90,message_0151;message_0152;message_0237
msg_040,digest,greeting,Message muted because it belongs to a muted group.,0.58,message_0136
msg_075,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0206;message_0205
msg_005,notify,unknown,Similar messages were previously opened by the user.,0.93,message_0065;message_0332;message_0382
msg_104,mute,greeting,Low priority message muted.,0.84,message_0115
msg_069,digest,greeting,Message muted because it belongs to a muted group.,0.66,message_0194;message_0193
msg_107,notify,payment,Similar messages were previously opened by the user.,0.82,none
msg_070,digest,greeting,Message buffered during user quiet hours.,0.75,message_0369
msg_003,mute,greeting,Muted promotional message from an opted-out business.,0.90,message_0031;message_0400;message_0061
msg_099,notify,urgent,Notification allowed from a trusted contact.,0.85,message_0249;message_0055;message_0228
msg_008,digest,greeting,Message buffered during user quiet hours.,0.62,message_0296
msg_092,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,none
msg_060,notify,greeting,Notification allowed from a trusted contact.,0.80,message_0176;message_0284;message_0404
msg_004,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0245;message_0005;message_0064
msg_030,digest,greeting,Message muted because it belongs to a muted group.,0.55,message_0115;message_0025
msg_045,notify,greeting,Notification allowed from a trusted contact.,0.82,none
msg_052,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0208;message_0207;message_0159
msg_009,digest,greeting,Message muted because it belongs to a muted group.,0.59,message_0074
msg_071,notify,greeting,Similar messages were previously opened by the user.,0.75,none
msg_016,digest,unknown,Message buffered during user quiet hours.,0.55,message_0024;message_0087;message_0184
msg_065,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0261
msg_038,notify,urgent,Similar messages were previously opened by the user.,0.88,message_0131
msg_086,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,none
msg_014,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0017;message_0258;message_0018
msg_094,digest,promotion,Promotional message routed to digest.,0.69,none
msg_029,notify,greeting,Similar messages were previously opened by the user.,0.93,message_0095;message_0332;message_0113
msg_105,digest,greeting,Message routed to digest based on user preference.,0.75,message_0233;message_0373
msg_002,notify,event,Notification allowed from a trusted contact.,0.85,message_0371;message_0230;message_0169
msg_010,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0011;message_0242
msg_078,digest,urgent,Message routed to digest based on user preference.,0.74,message_0211;message_0212
msg_013,mute,promotion,Promotional message muted based on user history.,0.74,none
msg_018,mute,unknown,Low priority message muted.,0.75,message_0026;message_0092;message_0091
msg_044,notify,unknown,Notification allowed based on relationship and urgency signals.,0.71,message_0143;message_0144
msg_032,notify,unknown,Notification allowed from a trusted contact.,0.75,none
msg_106,notify,urgent,Notification allowed from a trusted contact.,0.85,message_0234;message_0376
msg_006,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0271;message_0029;message_0067
msg_109,mute,greeting,Low priority message muted.,0.71,message_0151;message_0152;message_0237
msg_108,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0094;message_0093;message_0236
msg_019,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0094;message_0093;message_0236
msg_088,mute,unknown,Message muted because it belongs to a muted group.,0.88,message_0025
msg_056,digest,unknown,Message muted because it belongs to a muted group.,0.55,message_0226
msg_027,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0272;message_0033;message_0007
msg_050,mute,event,Muted promotional message from an opted-out business.,0.90,message_0279;message_0156;message_0155
msg_083,notify,unknown,Notification allowed from a trusted contact.,0.69,none
msg_063,notify,urgent,Urgent notification allowed requiring immediate attention.,0.78,message_0182;message_0181
msg_033,notify,urgent,Similar messages were previously opened by the user.,0.82,none
msg_061,digest,greeting,Message muted because it belongs to a muted group.,0.66,message_0193;message_0194
msg_020,notify,urgent,Similar messages were previously opened by the user.,0.88,message_0390;message_0332;message_0095
msg_017,mute,payment,Message muted because it belongs to a muted group.,0.92,message_0090;message_0089
msg_058,digest,greeting,Message muted because it belongs to a muted group.,0.65,message_0078;message_0172
msg_026,mute,scam,Potential phishing attempt detected from an untrusted sender.,0.95,message_0032;message_0107;message_0108
msg_047,notify,unknown,Similar messages were previously opened by the user.,0.93,message_0152;message_0151;message_0237
msg_046,mute,unknown,Low priority message muted.,0.74,message_0148;message_0147
msg_042,notify,greeting,Similar messages were previously opened by the user.,0.93,message_0057;message_0140
msg_079,notify,greeting,Similar messages were previously opened by the user.,0.75,none
msg_098,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0226
msg_037,notify,urgent,Similar messages were previously opened by the user.,0.93,message_0271;message_0410
